BROKERTITLE,TYPE,PRICE,BEDS,BATH,PROPERTYSQFT,ADDRESS,STATE
Brokered by Exp Realty,Multi-family home for sale,899975,6,3,1952,861 E 231st St,"Bronx, NY 10466"
Brokered by Trusted Property Advisors Corp,House for sale,1474000,4,2,2050,71-28 Manse St,"Forest Hills, NY 11375"
"Brokered by Neuhaus Realty, Inc.",House for sale,2750000,6,5,6300,79 Grandview Ter,"Staten Island, NY 10308"
Brokered by Re/Max Edge,House for sale,3999000,3,2.373860858,3428,7923 11th Ave,"Brooklyn, NY 11228"
Brokered by EXIT REALTY FIRST CHOICE,House for sale,1288000,4,2,1700,76-66 174th St,"Fresh Meadows, NY 11366"
Brokered by 5 Boro Realty Corp,Foreclosure,499000,4,2,1428,719 Vermont St,"Brooklyn, NY 11207"
Brokered by DiTommaso Real Estate,House for sale,989000,4,4,2400,70 Weed Ave,"Staten Island, NY 10306"
Brokered by Prospes Real Estate Corp,House for sale,650000,3,2,2184.207862,827 Richmond Rd,"Staten Island, NY 10304"
"Brokered by Robert DeFalco Realty, Inc.",Contingent,1999999,4,4,4803,181 Androvette Ave,"Staten Island, NY 10312"
Brokered by Serhant,Townhouse for sale,5990000,4,4,3750,96 Bank St,"New York, NY 10014"
Brokered by TREBACH REALTY INC,Co-op for sale,1235000,3,2,2184.207862,2501 Palisade Ave Apt D2,"Bronx, NY 10463"
Brokered by City Connections Realty,Co-op for sale,785000,1,1,2184.207862,10 Park Ave Unit 10K,"New York, NY 10016"
Brokered by Coldwell Banker Reliable Real Estate,Co-op for sale,750000,3,2,1750,870 Riverside Dr Apt 5D,"New York, NY 10032"
Brokered by Modern Spaces Love Your Place,Multi-family home for sale,1400000,3,3,2184.207862,25-01 23rd Ave,"Long Island City, NY 11105"
Brokered by CENTURY 21 Kafcos Realty,Multi-family home for sale,865000,6,3,2464,910 Revere Ave,"Bronx, NY 10465"
Brokered by COMPASS,Co-op for sale,324000,1,1,2184.207862,35-31 85th St Unit 7F,"Queens, NY 11372"
Brokered by Matias Real Estate,House for sale,1100000,3,4,3750,7126 Amboy Rd,"Staten Island, NY 10307"
Brokered by A P Services Inc,Multi-family home for sale,2295000,3,7,2184.207862,4415 Atlantic Ave,"Brooklyn, NY 11224"
Brokered by Douglas Elliman - 575 Madison Ave,House for sale,8950000,4,2,2570,69 Orange St,"Brooklyn, NY 11201"
Brokered by RE MAX Central,Multi-family home for sale,1348888,3,4,2450,252 Ionia Ave,"Staten Island, NY 10312"
"Brokered by Robert E. Hill, Inc.",Co-op for sale,220000,2,1,850,5620 Netherland Ave Apt 3G,"Bronx, NY 10471"
Brokered by Brown Harris Stevens - 100 Seventh Avenue,Co-op for sale,185000,1,1,2184.207862,789 Macdonough St Apt 4G,"Brooklyn, NY 11233"
Brokered by Houlihan Lawrence,House for sale,499000,2,2,1350,514 E 235th St,"Bronx, NY 10470"
Brokered by ROBERT DEFALCO REALTY INC,Multi-family home for sale,999999,4,3,1980,362 90th St,"Brooklyn, NY 11209"
Brokered by Corcoran East Side,Townhouse for sale,4995000,2,2,2000,51 Barrow St,"New York, NY 10014"
Brokered by Corcoran Park Avenue South,Pending,700000,2,1,2184.207862,248 E 7th St # 9/10,"New York, NY 10009"
Brokered by RE MAX 1st Choice,House for sale,1180000,4,4,1820,45-33 Zion St,"Little Neck, NY 11362"
Brokered by RE MAX 1st Choice,Condo for sale,609000,2,2,2184.207862,132-03 Sanford Ave Unit 3H,"Flushing, NY 11355"
"Brokered by AMERIHOMES REALTY OF NY, INC.",Co-op for sale,250000,2,1,950,2525 W 2nd St Apt 2E,"Brooklyn, NY 11223"
Brokered by Real Broker NY LLC,House for sale,689000,3,2,2184.207862,111-45 120th St,"South Ozone Park, NY 11420"
Brokered by Jaymore Realty Llc,Multi-family home for sale,585000,4,2,2184.207862,12-86 Augustina Ave,"Far Rockaway, NY 11691"
"Brokered by Robert Defalco Realty, Inc.",Condo for sale,109500,3,1,550,1000 Clove Rd Apt 9F,"Staten Island, NY 10301"
Brokered by Corcoran SoHo,Co-op for sale,299000,3,1,640,410 E 57th St Apt 8B,"New York, NY 10022"
Brokered by Re/Max Central,House for sale,995000,3,2,1987,23 Howard Ave,"Staten Island, NY 10301"
Brokered by RE MAX Real Estate Professionals,Multi-family home for sale,1499000,6,2,3144,338 77th St,"Brooklyn, NY 11209"
Brokered by Douglas Elliman - Port Washington,Co-op for sale,299000,2,1,2184.207862,193-15 37 Ave Unit 177,"Flushing, NY 11358"
Brokered by New Heights Realty,Co-op for sale,279000,3,1,550,57 Park Terrace Ter W Unit 3F,"New York, NY 10034"
Brokered by Joshuas Realty,House for sale,235000,3,2,2184.207862,131-16 115 Ave,"South Ozone Park, NY 11420"
Brokered by COMPASS,Co-op for sale,17900000,6,4,2184.207862,41 Central Park W Unit 11A,"Manhattan, NY 10023"
Brokered by COMPASS,Townhouse for sale,950000,5,3,2288,914 Pine St,"Brooklyn, NY 11208"
Brokered by KELLER WILLIAMS REALTY LANDMARK II,House for sale,859000,2,2,950,149-47 26th Ave,"Flushing, NY 11354"
"Brokered by Compass Greater Ny, Llc",House for sale,1999000,5,4,2000,34-51 74th St,"Queens, NY 11372"
Brokered by Lombardo Homes & Estates,Multi-family home for sale,1458888,8,2.373860858,2988,86-84 188th St,"Hollis, NY 11423"
Brokered by Ha Jones Realty & Management,House for sale,650000,5,3,2184.207862,36A Rochester Ave,"Brooklyn, NY 11233"
Brokered by RE MAX Real Estate Professionals,House for sale,1100000,4,3,1400,7619 10th Ave,"Brooklyn, NY 11228"
Brokered by E Realty International Corp,Condo for sale,478900,1,1,554,65-18 Austin St Unit 2C,"Rego Park, NY 11374"
"Brokered by CLAS - Classic Marketing, LLC",Condo for sale,2795000,2,2,965,25 Fifth Ave Unit 5B,"New York, NY 10003"
Brokered by Atlantic Apple Realty,Multi-family home for sale,560000,5,2,2624,45 St Pauls Ave,"Staten Island, NY 10301"
Brokered by Momentum Real Estate LLC,Multi-family home for sale,868000,3,4,2024,108 Dutchess Ave,"Staten Island, NY 10304"
Brokered by Regent Realty,House for sale,999000,3,2,2184.207862,196-11 45th Ave,"Flushing, NY 11358"
Brokered by Douglas Elliman - 575 Madison Ave,Multi-family home for sale,1590000,5,6,2184.207862,149-43 Hawtree St,"Queens, NY 11417"
"Brokered by Harlem Lofts Inc.- Harlem Lofts, Inc.",Co-op for sale,149000,1,1,375,219 W 144th St Apt 41,"New York, NY 10030"
Brokered by Island Advantage Realty Llc,House for sale,594900,4,2,1355,121-42 Laurelton Pkwy,"Rosedale, NY 11422"
Brokered by Behfar Team Llc,House for sale,799000,3,2,2184.207862,1462 E 23rd St,"Brooklyn, NY 11210"
Brokered by Homesmart Crossisland,Multi-family home for sale,985000,6,5,2184.207862,145-90 222nd St,"Springfield Gardens, NY 11413"
Brokered by Jortevsky Real Estate Firm,House for sale,685000,4,2,2625,116-33 198th St,"Saint Albans, NY 11412"
Brokered by Mark International Real Estate,Contingent,479888,3,2,1188,124 Hampton Pl,"Staten Island, NY 10309"
Brokered by Wolf Properties Inc,Pending,2500000,3,2.373860858,2184.207862,32 Village Rd N,"Brooklyn, NY 11223"
Brokered by Keller Williams NYC,Condo for sale,355000,1,1,514,961 Washington Ave Apt 1G,"Brooklyn, NY 11225"
Brokered by Corcoran Westside Columbus,Co-op for sale,260000,2,1,2184.207862,515 W 135th St Apt 4C,"New York, NY 10031"
Brokered by COMPASS,Townhouse for sale,2600000,5,5,4057,65 Gates Ave,"Brooklyn, NY 11238"
Brokered by Wolf Properties Inc,Pending,2500000,3,2.373860858,2184.207862,30 Village Rd N,"Brooklyn, NY 11223"
Brokered by East Coast Realty Partners,Co-op for sale,220000,1,1,2184.207862,6565 Wetherole St Apt 4O,"Rego Park, NY 11374"
Brokered by Charles H. Greenthal Property,Co-op for sale,489000,2,2,1549,26910 Grand Central Pkwy Apt 27G,"Floral Park, NY 11005"
Brokered by BERGEN BASIN REALTY,Multi-family home for sale,1288000,5,2,2375,1853 Benson Ave,"Brooklyn, NY 11214"
Brokered by COMPASS,Condo for sale,200000,2,3,1260,2 E 55th St Unit 1136W15,"Manhattan, NY 10022"
Brokered by Prime Realty,House for sale,625000,3,1,2184.207862,64-01 Pleasantview St,"Middle Village, NY 11379"
Brokered by Elegran Real Estate And Development,Condo for sale,2245000,2,3,1724,171 E 84th St Apt 3B,"New York, NY 10028"
Brokered by Douglas Elliman - Syosset,House for sale,899000,3,2,2184.207862,163-43 90th St,"Howard Beach, NY 11414"
Brokered by COMPASS,Townhouse for sale,575000,4,2,1330,411 Montauk Ave,"Brooklyn, NY 11208"
"Brokered by BEN BAY REALTY, CO.",House for sale,588888,4,2,1640,187 Latimer Ave,"Staten Island, NY 10314"
"Brokered by Kremer Realty Ii, Inc",Multi-family home for sale,650000,6,2.373860858,2184.207862,3106 Mickle Ave,"Bronx, NY 10469"
Brokered by Fave Realty Inc,Multi-family home for sale,899999,8,4,2184.207862,375 Linden Blvd,"Brooklyn, NY 11203"
Brokered by RE MAX Voyage,Co-op for sale,315000,1,1,850,35-31 85th St Unit 2M,"Jackson Heights, NY 11372"
Brokered by Houlihan & O'malley R. E. Serv,Multi-family home for sale,1599999,6,2.373860858,4073,3176 Tierney Pl,"Bronx, NY 10465"
Brokered by COMPASS,Townhouse for sale,10000000,5,2.373860858,5660,45 W 95th St,"Manhattan, NY 10025"
"Brokered by Neuhaus Realty, Inc.",House for sale,825000,4,2,2230,263 Getz Ave,"Staten Island, NY 10312"
Brokered by Homefinders of SI Inc.,Contingent,795000,3,3,1860,166 Bancroft Ave,"Staten Island, NY 10306"
Brokered by BERGEN BASIN REALTY,House for sale,690000,3,2,1325,2041 E 64th St,"Brooklyn, NY 11234"
Brokered by Real Estate Executives,House for sale,1249949,4,4,2720,21 Sanford St,"Staten Island, NY 10307"
Brokered by Keystone Realty USA Corp,House for sale,799000,4,3,2184.207862,921 E 98th St,"Brooklyn, NY 11236"
NoBroker,Co-op for sale,115000,3,1,2184.207862,87-15 165th St Unit 6C,"Jamaica, NY 11432"
Brokered by Keller Williams Legendary,House for sale,2088000,4,4,2394,24-40 Little Neck Blvd,"Bayside, NY 11360"
Brokered by Corcoran Park Slope,Condo for sale,699000,2,2,1766,124-11 Rockaway Beach Blvd # 1C,"Queens, NY 11694"
Brokered by Lopez Realty Team Inc,Co-op for sale,119000,1,1,650,754 Brady Ave Apt 205,"Bronx, NY 10462"
Brokered by Winzone Realty Inc,Multi-family home for sale,1275000,5,3,2184.207862,32-58 86th St,"East Elmhurst, NY 11369"
Brokered by Keystone Realty USA Corp,Condo for sale,410000,2,2,2184.207862,151-35 84th St Unit 3M,"Howard Beach, NY 11414"
Brokered by Re/Max In The City,Co-op for sale,309900,2,1,900,679 W 239th St Apt 5J,"Bronx, NY 10463"
Brokered by Nareema Baksh Real Estate,Condo for sale,435000,3,2,1034,2877 Ely Ave,"Bronx, NY 10469"
Brokered by Tiffany Moves You Inc,House for sale,879000,3,3,2184.207862,14-11 111th St,"College Point, NY 11356"
Brokered by Keller Williams Realty Group,Co-op for sale,325000,3,1,622,525 W 134th St Apt 2E,"New York, NY 10031"
Brokered by Legacy Estate Realty,Multi-family home for sale,1195000,16,8,2184.207862,453 42nd St,"Brooklyn, NY 11232"
Brokered by Myc & Associates Inc,Co-op for sale,1900000,3,2,2200,160 Chambers St Apt 4,"New York, NY 10007"
Brokered by Crifasi Real Estate Inc,House for sale,868000,3,2,2184.207862,64-04 71st St,"Middle Village, NY 11379"
Brokered by Winzone Realty Inc,Multi-family home for sale,1770000,7,4,2184.207862,924 129th St,"College Point, NY 11356"
Brokered by O Kane Realty,Multi-family home for sale,899000,5,3,1480,58-31 71st St,"Maspeth, NY 11378"
Brokered by Corcoran SoHo,Pending,990000,2,2,960,253 Tompkins Ave Apt 4B,"Brooklyn, NY 11216"
Brokered by Maureen Folan R E Group Llc,House for sale,818000,3,3,2184.207862,138-38 63 Ave,"Flushing, NY 11367"
Brokered by Sowae Corp,House for sale,409000,4,2,2184.207862,144-28 72nd Rd,"Flushing, NY 11367"
Brokered by RE MAX Edge,Pending,679000,3,2,1474,3719 Mermaid Ave Unit 2B,"Brooklyn, NY 11224"
Brokered by Douglas Elliman - Bayside,Co-op for sale,259000,1,1,2184.207862,72-81 113 St Unit 6K,"Forest Hills, NY 11375"
Brokered by Stone Hill Real Estate,House for sale,850000,6,3,2280,62 15th St Unit 15TH,"Brooklyn, NY 11215"
Brokered by Halstead Real Estate - 770 Lexington Avenue,Townhouse for sale,8750000,6,6,6000,8200 Narrows Ave Unit Townhouse,"Brooklyn, NY 11209"
Brokered by RE MAX Real Estate Professionals,House for sale,495000,2,2,953,79 Benjamin Dr,"Staten Island, NY 10303"
Brokered by Remax Edge - RE/MAX EDGE,Co-op for sale,825000,2,1,800,14 Prospect Park SW Apt 39,"Brooklyn, NY 11215"
Brokered by Douglas Elliman - Long Beach,Co-op for sale,1075000,4,2,1800,37-30 83rd St Unit 4EF,"Jackson Heights, NY 11372"
Brokered by Douglas Elliman - 3544 Johnson Ave,House for sale,1950000,5,4,4000,5501 Palisade Ave Lot 2,"Bronx, NY 10471"
"Brokered by Robert DeFalco Realty, Inc.",House for sale,6800000,7,2.373860858,5130,131 Cliffwood Ave,"Staten Island, NY 10304"
Brokered by Corcoran West Side,Multi-family home for sale,7999000,20,10,2184.207862,414 Riverside Dr,"New York, NY 10025"
Brokered by Tscherne Realty Inc,Condo for sale,578000,2,2,900,57-15 69th Ln Unit 1,"Maspeth, NY 11378"
Brokered by COMPASS,Condo for sale,8995000,5,4,4373,135 W 52nd St Ph 5,"Manhattan, NY 10019"
Brokered by eXp Realty BKNY,Condo for sale,629000,3,2,1360,269 Bay 8th St Apt 2R,"Brooklyn, NY 11228"
Brokered by Reony.Com Ltd,Condo for sale,329900,2,2,993,149-30 88 St Unit 4D,"Howard Beach, NY 11414"
Brokered by Keller Williams Rlty Landmark,House for sale,1788888,4,4,2184.207862,162-15 14th Ave,"Whitestone, NY 11357"
"Brokered by Sari Kingsley, Real Estate",House for sale,899000,5,2,2184,39 Rene Dr,"Staten Island, NY 10306"
Brokered by BRAI - Braithwaite Realty LLC,Condo for sale,2150000,3,1,750,163 E 71st St Unit 1,"New York, NY 10021"
Brokered by Hollingsworth Real Estate Grou,House for sale,1290000,3,2,2905,5040 Tibbett Ave,"Bronx, NY 10471"
Brokered by Keller Williams City Views,Co-op for sale,109000,1,1,2184.207862,335 E 209th St Apt 4,"Bronx, NY 10467"
"Brokered by Robert DeFalco Realty, Inc.",House for sale,545000,6,3,1344,46 Lincoln Ave,"Staten Island, NY 10306"
Brokered by BHHS New York Properties,Co-op for sale,307000,2,1,960,629 Kappock St Apt 2P,"Bronx, NY 10463"
Brokered by Corcoran Park Avenue South,Condo for sale,595000,1,1,750,189 Avenue C Apt 9D,"New York, NY 10009"
Brokered by Ashford Homes,House for sale,1088888,5,4,2452,75 Four Corners Rd,"Staten Island, NY 10304"
Brokered by Exp Realty,Townhouse for sale,650000,3,2,1912,1077 Adee Ave,"Bronx, NY 10469"
Brokered by RE MAX Edge,Multi-family home for sale,4380000,35,16,15000,8699 Bay Pkwy Unit 16,"Brooklyn, NY 11214"
Brokered by Homesmart Premier Living Rlty,Multi-family home for sale,949999,5,3,1740,109-42 Centreville St,"Ozone Park, NY 11417"
Brokered by Han Tang Realty Inc.,Multi-family home for sale,879000,4,2,1998,2026 Mayflower Ave,"Bronx, NY 10461"
Brokered by Exp Realty,House for sale,850000,6,4,2886,1358 Norton Dr,"Far Rockaway, NY 11691"
Brokered by RE MAX Elite,Co-op for sale,675000,2,2,1200,9437 Shore Rd Unit 1A,"Brooklyn, NY 11209"
Brokered by Gillani Homes Inc.,House for sale,199000,2,1,900,2701 Goethals Rd N Apt D7,"Staten Island, NY 10303"
Brokered by Corcoran Park Avenue South,House for sale,395000,3,1,430,56 Pine St Apt 10E,"New York, NY 10005"
Brokered by Keller Williams Legendary,Co-op for sale,368000,2,2,2184.207862,18-05 215th St Unit 12H,"Bayside, NY 11360"
Brokered by Re/Max Edge,Multi-family home for sale,999999,5,2,2754,184 Lovelace Ave,"Staten Island, NY 10312"
Brokered by Re/Max In The City,Condo for sale,374900,1,1,782,2287 Johnson Ave Apt 12B,"Bronx, NY 10463"
Brokered by Best Service Realty Corp.,Co-op for sale,365000,2,1,2184.207862,37-30 83rd St Unit 2H,"Jackson Heights, NY 11372"
Brokered by Sotheby's International Realty - Downtown Manhattan,Townhouse for sale,25500000,5,2.373860858,2184.207862,763 Greenwich St,"New York, NY 10014"
Brokered by Station Cities,Multi-family home for sale,999000,7,3,3036,784 Elton Ave,"Bronx, NY 10451"
Brokered by Keller Williams Rlty Landmark,House for sale,825000,3,2,2184.207862,62-72 Wetherole St,"Rego Park, NY 11374"
Brokered by TREBACH REALTY INC,House for sale,889000,3,2,2184.207862,6012 Delafield Ave,"Bronx, NY 10471"
Brokered by Ditommaso Real Estate,Co-op for sale,225000,2,1,789,1100 Clove Rd Apt 2D,"Brooklyn, NY 10301"
Brokered by EXP Realty,House for sale,799500,2,2,2250,627 Rockaway St,"Staten Island, NY 10307"
Brokered by Coldwell Banker American Homes,House for sale,779000,2,2,2184.207862,1947 Hendrickson St,"Brooklyn, NY 11234"
Brokered by Winzone Realty Inc,Multi-family home for sale,1880000,7,2,3240,415 72nd St,"Brooklyn, NY 11209"
Brokered by COMPASS,Townhouse for sale,3000000,5,2.373860858,5000,263 W 139th St,"Manhattan, NY 10030"
Brokered by TREBACH REALTY INC,Co-op for sale,480000,3,2,2184.207862,3901 Independence Ave Apt 2T,"Bronx, NY 10463"
Brokered by Island Advantage Realty Llc,House for sale,820000,4,3,2184.207862,150-08 Grand Central Pkwy,"Jamaica, NY 11432"
Brokered by New York Residential R E,Co-op for sale,385000,2,1,800,160-34 Cross Island Pkwy Unit 6-202,"Whitestone, NY 11357"
Brokered by Jacobson Realty Ltd,House for sale,709999,4,2,2184.207862,220-45 138th Ave,"Springfield Gardens, NY 11413"
Brokered by EXIT REALTY PRIME,House for sale,699000,3,2,1500,115-11 126th St,"South Ozone Park, NY 11420"
Brokered by Ilite Realty Inc,Condo for sale,649000,3,2,1400,1220 Avenue Y Unit Oa,"Brooklyn, NY 11235"
Brokered by Diane Realty Ltd.,Townhouse for sale,529000,3,2.373860858,1618,23 Arielle Ln,"Staten Island, NY 10314"
Brokered by Exp Realty,Co-op for sale,325000,2,1,750,129 E 102nd St Apt 5B,"New York, NY 10029"
Brokered by RE MAX Edge,House for sale,999000,3,1,1392,1648 Marine Pkwy,"Brooklyn, NY 11234"
Brokered by Sowae Corp,House for sale,160000,3,2.373860858,1064,114-48 148 St,"Jamaica, NY 11436"
Brokered by Harbor Properties International LLC,Condo for sale,3895000,3,3,1884,70 Little West St Apt 26B,"New York, NY 10004"
Brokered by Corcoran Brooklyn Heights,Co-op for sale,699000,1,1,2184.207862,114 Remsen St Apt A,"Brooklyn, NY 11201"
Brokered by J. Sikar Realty,Condo for sale,615000,3,2,1165,501 Surf Ave Apt 18F,"Brooklyn, NY 11224"
Brokered by Joyce Realty,Co-op for sale,249000,2,1,800,12 Edgewater Park Unit B,"Bronx, NY 10465"
Brokered by EXP Realty,Townhouse for sale,1290000,3,2,1998,1867 W 4th St,"Brooklyn, NY 11223"
Brokered by MAK Estates,Multi-family home for sale,850000,4,2,2375,18 Salamander Ct,"Staten Island, NY 10309"
"Brokered by Robert Defalco Realty, Inc.",House for sale,588000,3,2,1140,111 E Raleigh St,"Staten Island, NY 10310"
Brokered by Century Homes Realty Group LLC,House for sale,1790000,4,2,2184.207862,69-55 Kessel St,"Forest Hills, NY 11375"
Brokered by Best American Homes Inc,Multi-family home for sale,1175000,9,3,2184.207862,32-27 92nd St,"East Elmhurst, NY 11369"
Brokered by Douglas Elliman - Garden City,House for sale,579000,4,2,2184.207862,1523 Bayview Ave,"Bronx, NY 10465"
"Brokered by Robert E. Hill, Inc.",Co-op for sale,249000,1,1,850,601 Kappock St Apt 3N,"Bronx, NY 10463"
Brokered by United Realty Associates,House for sale,2480000,3,2,3600,151-06 25th Ave,"Whitestone, NY 11357"
Brokered by Elite Real Estate Group 1 Llc,Multi-family home for sale,999000,4,3,2270,2415 Throop Ave,"Bronx, NY 10469"
Brokered by Keller Williams Realty Liberty,Co-op for sale,228500,1,1,750,123-35 82nd Rd Unit 7U,"Kew Gardens, NY 11415"
Brokered by Keller Williams Rlty Landmark,Co-op for sale,305000,2,1,2184.207862,164-11 Willets Point Blvd Unit 2,"Whitestone, NY 11357"
Brokered by Hudson Group Realty Network Inc,Multi-family home for sale,1500000,6,2,3600,344 W 121st St,"New York, NY 10027"
Brokered by American Homes Group,Multi-family home for sale,778000,4,3,2185,126 Elizabeth St,"Staten Island, NY 10310"
Brokered by E Realty International Corp,House for sale,850000,3,2,1320,151-23 12th Rd,"Whitestone, NY 11357"
Brokered by Cross Country Realty,House for sale,428000,3,3,2184.207862,1126 E 73rd St Units 43 & 33,"Brooklyn, NY 11234"
Brokered by Elegran Real Estate And Development,Co-op for sale,639000,1,1,2184.207862,45 E End Ave Apt 5E,"New York, NY 10028"
Brokered by 5 Boro Realty Corp,House for sale,835000,3,2,2184.207862,4408 Flatlands Ave,"Brooklyn, NY 11234"
Brokered by Douglas Elliman - Bayside,House for sale,1250000,3,2,1560,28-39 213th St,"Bayside, NY 11360"
Brokered by Remax Edge - RE/MAX EDGE,House for sale,1695000,5,3,2160,68 74th St,"Brooklyn, NY 11209"
Brokered by REALHome Services & Solutions,House for sale,502900,4,2,1440,11718 Nashville Blvd,"Cambria Heights, NY 11411"
Brokered by Giner Real Estate Inc.,Multi-family home for sale,749000,4,2,1420,2119 Lurting Ave,"Bronx, NY 10461"
Brokered by JAPHOMES Inc,Multi-family home for sale,529000,5,2,2248,216 Beach 31st St,"Far Rockaway, NY 11691"
Brokered by Metro Net Realty Llc,House for sale,705000,2,2,2184.207862,76-22 57th Rd,"Middle Village, NY 11379"
Brokered by Sotheby's International Realty - Downtown Manhattan,Co-op for sale,549000,1,1,2184.207862,535 E 72nd St Apt 4A,"New York, NY 10021"
Brokered by Andrew Lichtenstein Inc,Multi-family home for sale,7200000,3,2.373860858,48000,3650 Bronx Blvd,"Bronx, NY 10467"
Brokered by EXP Realty,Co-op for sale,335000,2,1,745,35-35 82nd St Unit 24,"Jackson Heights, NY 11372"
Brokered by Coldwell Banker American Homes,House for sale,599000,3,2,2184.207862,312F Beach 101st St,"Rockaway Park, NY 11694"
Brokered by Matias Real Estate,Townhouse for sale,334999,1,2,1059,306 Ilyssa Way,"Staten Island, NY 10312"
Brokered by TREBACH REALTY INC,Co-op for sale,295000,1,1,2184.207862,3001 Henry Hudson Pkwy Apt 3I,"Bronx, NY 10463"
Brokered by SIMPLON ENTERPRISES INC,House for sale,560000,3,2,2184.207862,815 Havemeyer Ave,"Bronx, NY 10473"
Brokered by Sotheby's International Realty - Downtown Manhattan,Co-op for sale,549000,1,1,2184.207862,535 E 72nd St Apt 4A,"New York, NY 10021"
Brokered by EXP Realty,Co-op for sale,335000,2,1,745,35-35 82nd St Unit 24,"Jackson Heights, NY 11372"
Brokered by Matias Real Estate,Townhouse for sale,334999,1,2,1059,306 Ilyssa Way,"Staten Island, NY 10312"
Brokered by TREBACH REALTY INC,Co-op for sale,295000,1,1,2184.207862,3001 Henry Hudson Pkwy Apt 3I,"Bronx, NY 10463"
Brokered by BERGEN BASIN REALTY,House for sale,799000,3,2,2279,6911 Avenue Y,"Brooklyn, NY 11234"
Brokered by COMPASS,Condo for sale,720000,3,2,1046,782 Madison St Apt 1A,"Brooklyn, NY 11221"
Brokered by Red Door Realty Group,Contingent,249999,1,1,750,3747 Amboy Rd Apt 2A,"Staten Island, NY 10308"
Brokered by La Rosa Realty New York Llc,House for sale,850000,3,2,2184.207862,135-20 Lefferts Blvd,"South Ozone Park, NY 11420"
Brokered by RE MAX Real Estate Professionals,Multi-family home for sale,750000,3,2,2184.207862,457 Van Sicklen St,"Brooklyn, NY 11223"
Brokered by Genstone Properties,Multi-family home for sale,625000,5,2.373860858,2184.207862,198 Shepherd Ave,"Brooklyn, NY 11208"
Brokered by Nyc Elite Homes Inc,House for sale,650000,2,2,896,76-18 251st St,"Bellerose, NY 11426"
Brokered by CHRISTIE'S INT.REAL ESTATE GROUP,Townhouse for sale,4845000,9,6,5939,2099 Fifth Ave,"New York, NY 10035"
Brokered by COMPASS,Co-op for sale,580000,1,1,2184.207862,305 W 55th St Apt 2A,"Manhattan, NY 10019"
Brokered by Corcoran East Side,Co-op for sale,887785,2,2,2184.207862,575 Main St Apt 1602,"New York, NY 10044"
Brokered by RE MAX Real Estate Professionals,Condo for sale,499999,3,1,701,2362 E 13th St Apt 2B,"Brooklyn, NY 11229"
Brokered by Ardebili Michael,Pending,599000,4,2,1348,1527 Gillespie Ave Unit 1A,"Bronx, NY 10461"
Brokered by Douglas Elliman - Garden City,Pending,1149000,5,4,2169,48 Highland Pl,"Brooklyn, NY 11208"
Brokered by Momentum Real Estate Llc,House for sale,988000,4,2.373860858,2400,4 Minna St,"Staten Island, NY 10304"
Brokered by REALHome Services & Solutions,House for sale,764600,4,2,1884,187 Greencroft Ave,"Staten Island, NY 10308"
Brokered by Prince & Associates Realty Grp,Condo for sale,699900,1,1,2184.207862,11-25 47th Ave Unit 1,"Long Island City, NY 11101"
"Brokered by Garfield, Leslie J. & Co., Inc.",Townhouse for sale,5495000,5,4,4296,769 Carroll St,"Brooklyn, NY 11215"
Brokered by Winzone Realty Inc,House for sale,3900000,5,6,7723,14446 Boulevard,"Malba, NY 11357"
Brokered by Brown Harris Stevens,Co-op for sale,999000,2,2,2184.207862,531 Main St Apt 520,"Manhattan, NY 10044"
Brokered by COMPASS,Townhouse for sale,10495000,7,4,5100,48 Garden Pl,"Brooklyn, NY 11201"
Brokered by Keller Williams Realty Greater Nassau,Co-op for sale,188000,3,1,2184.207862,6011 Broadway Apt L5,"Woodside, NY 11377"
"Brokered by Robert Defalco Realty, Inc.",House for sale,499900,3,2,1232,40 Bunnell Ct Unit A,"Staten Island, NY 10312"
Brokered by COMPASS,Co-op for sale,545000,1,1,2184.207862,28 W 87th St Apt 4A,"Manhattan, NY 10024"
Brokered by Asimina Perikleous,Condo for sale,705000,2,2,2184.207862,66-41 69th St Unit 1E,"Middle Village, NY 11379"
Brokered by RE/MAX Team,House for sale,1289000,4,4,2184.207862,257-03 80th Ave,"Glen Oaks, NY 11004"
Brokered by Sold By Bart R E Partners Inc,Co-op for sale,389000,2,1,2184.207862,62-19 53rd Ave Unit 3P,"Maspeth, NY 11378"
Brokered by Homedax Real Estate Llc,Co-op for sale,350000,2,1,2184.207862,414 61st St Apt 4A,"Brooklyn, NY 11220"
Brokered by RE/MAX Team,House for sale,1289000,4,4,2184.207862,257-03 80th Ave,"Glen Oaks, NY 11004"
"Brokered by Robert Defalco Realty, Inc.",House for sale,499900,3,2,1232,40 Bunnell Ct Unit A,"Staten Island, NY 10312"
Brokered by Homedax Real Estate Llc,Co-op for sale,350000,2,1,2184.207862,414 61st St Apt 4A,"Brooklyn, NY 11220"
Brokered by Corcoran SoHo,Condo for sale,295000,3,1,2184.207862,48 W 138th St Apt 6F,"New York, NY 10037"
Brokered by SkyLimit Realty Group,Multi-family home for sale,918000,4,3,2184.207862,88-04 69th Rd,"Forest Hills, NY 11375"
Brokered by EXP Realty,Multi-family home for sale,1799000,4,3,3176,10005 69th Ave,"Forest Hills, NY 11375"
Brokered by RE MAX Edge,Multi-family home for sale,989000,4,2,1827,2374 E 17th St,"Brooklyn, NY 11229"
Brokered by Re/Max Real Estate Professionals,Multi-family home for sale,890000,5,2,2144,146 Cedar Ave,"Staten Island, NY 10305"
